ALGORITHM, GESTURE, # OF SELECTED FEATURES, PARTICIPANT_NO, ACCURACY, AUC, #ofPositiveInstance, #ofNegativeInstance, TN, FP, FN, TP, FAR, FRR, EER
RF-501, Circle, 2, 7, 0.97, 0.85, 14, 170, 168, 2, 4, 10, 0.01, 0.29, 0.22
RF-501, Circle, 2, 8, 0.88, 0.78, 9, 175, 156, 19, 3, 6, 0.11, 0.33, 0.27
RF-501, Circle, 2, 9, 0.92, 0.80, 17, 167, 158, 9, 6, 11, 0.05, 0.35, 0.27
RF-501, Circle, 2, 10, 0.93, 0.66, 8, 176, 168, 8, 5, 3, 0.05, 0.62, 0.40
RF-501, Circle, 2, 11, 0.99, 0.99, 3, 181, 179, 2, 0, 3, 0.01, 0.00, 0.01
RF-501, Circle, 2, 12, 0.99, 0.94, 8, 176, 176, 0, 1, 7, 0.00, 0.12, 0.11
RF-501, Circle, 2, 13, 0.98, 0.93, 8, 176, 174, 2, 1, 7, 0.01, 0.12, 0.11
RF-501, Circle, 2, 14, 0.96, 0.95, 16, 168, 162, 6, 1, 15, 0.04, 0.06, 0.06
RF-501, Circle, 2, 15, 0.92, 0.75, 11, 173, 164, 9, 5, 6, 0.05, 0.45, 0.32
RF-501, Updown, 2, 1, 0.93, 0.90, 14, 152, 143, 9, 2, 12, 0.06, 0.14, 0.13
RF-501, Updown, 2, 2, 0.94, 0.91, 15, 151, 143, 8, 2, 13, 0.05, 0.13, 0.12
RF-501, Updown, 2, 3, 0.98, 0.96, 15, 151, 149, 2, 1, 14, 0.01, 0.07, 0.06
RF-501, Updown, 2, 4, 1.00, 1.00, 8, 158, 158, 0, 0, 8, 0.00, 0.00, 0.00
RF-501, Updown, 2, 5, 0.93, 0.73, 10, 156, 150, 6, 5, 5, 0.04, 0.50, 0.34
RF-501, Updown, 2, 6, 0.95, 0.79, 13, 153, 149, 4, 5, 8, 0.03, 0.38, 0.28
RF-501, Updown, 2, 7, 0.97, 0.82, 6, 160, 157, 3, 2, 4, 0.02, 0.33, 0.25
RF-501, Updown, 2, 8, 0.97, 0.85, 7, 159, 156, 3, 2, 5, 0.02, 0.29, 0.23
RF-501, Updown, 2, 9, 0.97, 0.92, 14, 152, 149, 3, 2, 12, 0.02, 0.14, 0.13
RF-501, Updown, 2, 10, 0.89, 0.57, 10, 156, 146, 10, 8, 2, 0.06, 0.80, 0.46
RF-501, Updown, 2, 11, 1.00, 1.00, 13, 153, 153, 0, 0, 13, 0.00, 0.00, 0.00
RF-501, Updown, 2, 12, 0.96, 0.78, 5, 161, 156, 5, 2, 3, 0.03, 0.40, 0.29
RF-501, Updown, 2, 13, 0.98, 0.99, 2, 164, 161, 3, 0, 2, 0.02, 0.00, 0.02
RF-501, Updown, 2, 14, 0.89, 0.76, 15, 151, 138, 13, 6, 9, 0.09, 0.40, 0.30
RF-501, Updown, 2, 15, 0.95, 0.88, 19, 147, 143, 4, 4, 15, 0.03, 0.21, 0.18
RF-501, Tilt, 2, 1, 0.99, 0.93, 16, 185, 184, 1, 2, 14, 0.01, 0.12, 0.11
RF-501, Tilt, 2, 2, 0.96, 0.93, 25, 176, 171, 5, 3, 22, 0.03, 0.12, 0.11
RF-501, Tilt, 2, 3, 0.97, 0.96, 16, 185, 180, 5, 1, 15, 0.03, 0.06, 0.06
RF-501, Tilt, 2, 4, 1.00, 1.00, 18, 183, 183, 0, 0, 18, 0.00, 0.00, 0.00
RF-501, Tilt, 2, 5, 0.96, 0.91, 7, 194, 186, 8, 1, 6, 0.04, 0.14, 0.13
RF-501, Tilt, 2, 6, 0.94, 0.78, 10, 191, 183, 8, 4, 6, 0.04, 0.40, 0.29
RF-501, Tilt, 2, 7, 0.96, 0.90, 12, 189, 183, 6, 2, 10, 0.03, 0.17, 0.15
RF-501, Tilt, 2, 8, 0.90, 0.74, 16, 185, 171, 14, 7, 9, 0.08, 0.44, 0.32
RF-501, Tilt, 2, 9, 0.92, 0.85, 9, 192, 177, 15, 2, 7, 0.08, 0.22, 0.19
RF-501, Tilt, 2, 10, 0.98, 0.99, 8, 193, 189, 4, 0, 8, 0.02, 0.00, 0.02
RF-501, Tilt, 2, 11, 0.96, 0.83, 10, 191, 185, 6, 3, 7, 0.03, 0.30, 0.24
RF-501, Tilt, 2, 12, 0.92, 0.82, 10, 191, 178, 13, 3, 7, 0.07, 0.30, 0.24
RF-501, Tilt, 2, 13, 1.00, 1.00, 10, 191, 191, 0, 0, 10, 0.00, 0.00, 0.00
RF-501, Tilt, 2, 14, 0.98, 0.91, 17, 184, 182, 2, 3, 14, 0.01, 0.18, 0.15
RF-501, Tilt, 2, 15, 1.00, 1.00, 17, 184, 184, 0, 0, 17, 0.00, 0.00, 0.00
RF-501, Triangle, 2, 1, 0.96, 0.89, 15, 212, 206, 6, 3, 12, 0.03, 0.20, 0.17
RF-501, Triangle, 2, 2, 0.98, 0.96, 26, 201, 199, 2, 2, 24, 0.01, 0.08, 0.07
RF-501, Triangle, 2, 3, 0.99, 0.94, 16, 211, 210, 1, 2, 14, 0.00, 0.12, 0.11
RF-501, Triangle, 2, 4, 0.96, 0.90, 18, 209, 203, 6, 3, 15, 0.03, 0.17, 0.15
RF-501, Triangle, 2, 5, 0.95, 0.83, 13, 214, 207, 7, 4, 9, 0.03, 0.31, 0.24
RF-501, Triangle, 2, 6, 1.00, 1.00, 13, 214, 214, 0, 0, 13, 0.00, 0.00, 0.00
RF-501, Triangle, 2, 7, 0.99, 0.94, 18, 209, 209, 0, 2, 16, 0.00, 0.11, 0.10
RF-501, Triangle, 2, 8, 0.99, 1.00, 14, 213, 211, 2, 0, 14, 0.01, 0.00, 0.01
RF-501, Triangle, 2, 9, 0.95, 0.84, 17, 210, 204, 6, 5, 12, 0.03, 0.29, 0.23
RF-501, Triangle, 2, 10, 0.98, 0.99, 16, 211, 206, 5, 0, 16, 0.02, 0.00, 0.02
RF-501, Triangle, 2, 11, 1.00, 1.00, 7, 220, 220, 0, 0, 7, 0.00, 0.00, 0.00
RF-501, Triangle, 2, 12, 0.99, 1.00, 10, 217, 215, 2, 0, 10, 0.01, 0.00, 0.01
RF-501, Triangle, 2, 13, 1.00, 0.98, 21, 206, 206, 0, 1, 20, 0.00, 0.05, 0.05
RF-501, Triangle, 2, 14, 0.96, 0.92, 9, 218, 209, 9, 1, 8, 0.04, 0.11, 0.10
RF-501, Triangle, 2, 15, 0.96, 0.84, 14, 213, 207, 6, 4, 10, 0.03, 0.29, 0.23
RF-501, Turn, 2, 1, 0.98, 0.95, 35, 168, 166, 2, 3, 32, 0.01, 0.09, 0.08
RF-501, Turn, 2, 2, 0.98, 0.99, 12, 191, 186, 5, 0, 12, 0.03, 0.00, 0.03
RF-501, Turn, 2, 3, 0.99, 0.99, 19, 184, 181, 3, 0, 19, 0.02, 0.00, 0.02
RF-501, Turn, 2, 4, 0.99, 0.93, 15, 188, 188, 0, 2, 13, 0.00, 0.13, 0.12
RF-501, Turn, 2, 5, 0.95, 0.74, 12, 191, 186, 5, 6, 6, 0.03, 0.50, 0.34
RF-501, Turn, 2, 6, 0.94, 0.88, 16, 187, 178, 9, 3, 13, 0.05, 0.19, 0.16
RF-501, Turn, 2, 7, 0.96, 0.77, 9, 194, 190, 4, 4, 5, 0.02, 0.44, 0.31
RF-501, Turn, 2, 8, 0.99, 0.95, 10, 193, 192, 1, 1, 9, 0.01, 0.10, 0.09
