ALGORITHM, GESTURE, # OF SELECTED SENSORS, PARTICIPANT_NO, ACCURACY, AUC, #ofPositiveInstance, #ofNegativeInstance, TN, FP, FN, TP, FAR, FRR, EER
RF-501, Updown, Gyr, 8, 0.94, 0.50, 31, 521, 521, 0, 31, 0, 0.00, 1.00, 0.50
RF-501, Updown, Gyr, 9, 0.93, 0.51, 39, 513, 513, 0, 38, 1, 0.00, 0.97, 0.49
RF-501, Updown, Gyr, 10, 0.98, 0.86, 28, 524, 523, 1, 8, 20, 0.00, 0.29, 0.22
RF-501, Updown, Gyr, 11, 0.99, 0.85, 23, 529, 528, 1, 7, 16, 0.00, 0.30, 0.23
RF-501, Updown, Gyr, 12, 0.94, 0.56, 32, 520, 515, 5, 28, 4, 0.01, 0.88, 0.47
RF-501, Updown, Gyr, 13, 0.96, 0.59, 28, 524, 523, 1, 23, 5, 0.00, 0.82, 0.45
RF-501, Updown, Gyr, 14, 0.94, 0.72, 56, 496, 494, 2, 31, 25, 0.00, 0.55, 0.36
RF-501, Updown, Gyr, 15, 0.97, 0.82, 47, 505, 504, 1, 17, 30, 0.00, 0.36, 0.27
RF-501, Tilt, Gyr, 1, 0.93, 0.57, 50, 618, 615, 3, 43, 7, 0.00, 0.86, 0.46
RF-501, Tilt, Gyr, 2, 0.94, 0.66, 56, 612, 607, 5, 38, 18, 0.01, 0.68, 0.41
RF-501, Tilt, Gyr, 3, 0.93, 0.62, 55, 613, 609, 4, 41, 14, 0.01, 0.75, 0.43
RF-501, Tilt, Gyr, 4, 0.94, 0.69, 55, 613, 608, 5, 34, 21, 0.01, 0.62, 0.38
RF-501, Tilt, Gyr, 5, 0.95, 0.57, 37, 631, 630, 1, 32, 5, 0.00, 0.86, 0.46
RF-501, Tilt, Gyr, 6, 0.94, 0.54, 45, 623, 623, 0, 41, 4, 0.00, 0.91, 0.48
RF-501, Tilt, Gyr, 7, 0.95, 0.53, 36, 632, 632, 0, 34, 2, 0.00, 0.94, 0.49
