ALGORITHM, GESTURE, # OF SELECTED SENSORS, PARTICIPANT_NO, ACCURACY, AUC, #ofPositiveInstance, #ofNegativeInstance, TN, FP, FN, TP, FAR, FRR, EER
RF-501, Turn, Acc, 13, 1.00, 0.98, 28, 647, 646, 1, 1, 27, 0.00, 0.04, 0.03
RF-501, Turn, Acc, 14, 0.94, 0.82, 58, 617, 596, 21, 19, 39, 0.03, 0.33, 0.25
RF-501, Turn, Acc, 15, 1.00, 0.99, 38, 637, 637, 0, 1, 37, 0.00, 0.03, 0.03
RF-501, Square, Acc, 1, 0.95, 0.83, 63, 753, 730, 23, 20, 43, 0.03, 0.32, 0.25
RF-501, Square, Acc, 2, 0.96, 0.81, 58, 758, 744, 14, 21, 37, 0.02, 0.36, 0.27
RF-501, Square, Acc, 3, 0.97, 0.90, 67, 749, 740, 9, 12, 55, 0.01, 0.18, 0.15
RF-501, Square, Acc, 4, 0.96, 0.80, 39, 777, 760, 17, 15, 24, 0.02, 0.38, 0.28
RF-501, Square, Acc, 5, 0.95, 0.77, 49, 767, 751, 16, 22, 27, 0.02, 0.45, 0.31
RF-501, Square, Acc, 6, 0.94, 0.78, 55, 761, 732, 29, 22, 33, 0.04, 0.40, 0.29
RF-501, Square, Acc, 7, 0.97, 0.84, 48, 768, 759, 9, 15, 33, 0.01, 0.31, 0.24
RF-501, Square, Acc, 8, 0.98, 0.94, 57, 759, 748, 11, 6, 51, 0.01, 0.11, 0.10
RF-501, Square, Acc, 9, 0.97, 0.88, 40, 776, 764, 12, 9, 31, 0.02, 0.23, 0.19
RF-501, Square, Acc, 10, 0.98, 0.91, 42, 774, 768, 6, 7, 35, 0.01, 0.17, 0.14
RF-501, Square, Acc, 11, 0.97, 0.83, 43, 773, 761, 12, 14, 29, 0.02, 0.33, 0.25
RF-501, Square, Acc, 12, 0.97, 0.89, 57, 759, 742, 17, 11, 46, 0.02, 0.19, 0.16
RF-501, Square, Acc, 13, 0.98, 0.95, 64, 752, 742, 10, 6, 58, 0.01, 0.09, 0.09
RF-501, Square, Acc, 14, 0.96, 0.84, 61, 755, 743, 12, 18, 43, 0.02, 0.30, 0.23
RF-501, Square, Acc, 15, 0.94, 0.79, 73, 743, 722, 21, 28, 45, 0.03, 0.38, 0.28
RF-501, Circle, Gyr, 1, 0.99, 0.95, 42, 570, 570, 0, 4, 38, 0.00, 0.10, 0.09
RF-501, Circle, Gyr, 2, 0.98, 0.93, 47, 565, 561, 4, 6, 41, 0.01, 0.13, 0.11
RF-501, Circle, Gyr, 3, 0.98, 0.94, 59, 553, 549, 4, 7, 52, 0.01, 0.12, 0.11
RF-501, Circle, Gyr, 4, 0.97, 0.92, 35, 577, 564, 13, 5, 30, 0.02, 0.14, 0.13
RF-501, Circle, Gyr, 5, 0.98, 0.91, 40, 572, 564, 8, 7, 33, 0.01, 0.17, 0.15
RF-501, Circle, Gyr, 6, 0.98, 0.87, 45, 567, 563, 4, 11, 34, 0.01, 0.24, 0.20
RF-501, Circle, Gyr, 7, 0.99, 0.94, 37, 575, 571, 4, 4, 33, 0.01, 0.11, 0.10
RF-501, Circle, Gyr, 8, 0.97, 0.88, 48, 564, 556, 8, 11, 37, 0.01, 0.23, 0.19
RF-501, Circle, Gyr, 9, 0.97, 0.88, 46, 566, 560, 6, 11, 35, 0.01, 0.24, 0.19
RF-501, Circle, Gyr, 10, 0.99, 0.98, 39, 573, 570, 3, 1, 38, 0.01, 0.03, 0.03
RF-501, Circle, Gyr, 11, 0.99, 0.89, 29, 583, 581, 2, 6, 23, 0.00, 0.21, 0.17
RF-501, Circle, Gyr, 12, 0.99, 0.92, 33, 579, 576, 3, 5, 28, 0.01, 0.15, 0.13
RF-501, Circle, Gyr, 13, 0.99, 0.94, 32, 580, 579, 1, 4, 28, 0.00, 0.12, 0.11
RF-501, Circle, Gyr, 14, 0.98, 0.92, 48, 564, 560, 4, 7, 41, 0.01, 0.15, 0.13
RF-501, Circle, Gyr, 15, 0.99, 0.91, 32, 580, 579, 1, 6, 26, 0.00, 0.19, 0.16
RF-501, Updown, Gyr, 1, 0.95, 0.86, 40, 512, 497, 15, 10, 30, 0.03, 0.25, 0.20
RF-501, Updown, Gyr, 2, 0.95, 0.78, 41, 511, 502, 9, 17, 24, 0.02, 0.41, 0.30
RF-501, Updown, Gyr, 3, 0.96, 0.88, 55, 497, 485, 12, 12, 43, 0.02, 0.22, 0.18
RF-501, Updown, Gyr, 4, 0.99, 0.87, 26, 526, 526, 0, 7, 19, 0.00, 0.27, 0.21
RF-501, Updown, Gyr, 5, 0.94, 0.71, 33, 519, 506, 13, 18, 15, 0.03, 0.55, 0.36
RF-501, Updown, Gyr, 6, 0.94, 0.75, 43, 509, 498, 11, 21, 22, 0.02, 0.49, 0.33
RF-501, Updown, Gyr, 7, 0.95, 0.69, 30, 522, 512, 10, 18, 12, 0.02, 0.60, 0.38
RF-501, Updown, Gyr, 8, 0.95, 0.68, 31, 521, 511, 10, 19, 12, 0.02, 0.61, 0.38
RF-501, Updown, Gyr, 9, 0.91, 0.68, 39, 513, 488, 25, 23, 16, 0.05, 0.59, 0.38
RF-501, Updown, Gyr, 10, 0.99, 0.92, 28, 524, 520, 4, 4, 24, 0.01, 0.14, 0.13
RF-501, Updown, Gyr, 11, 0.99, 0.89, 23, 529, 527, 2, 5, 18, 0.00, 0.22, 0.18
RF-501, Updown, Gyr, 12, 0.94, 0.75, 32, 520, 500, 20, 15, 17, 0.04, 0.47, 0.33
RF-501, Updown, Gyr, 13, 0.95, 0.79, 28, 524, 507, 17, 11, 17, 0.03, 0.39, 0.29
RF-501, Updown, Gyr, 14, 0.92, 0.77, 56, 496, 478, 18, 24, 32, 0.04, 0.43, 0.31
RF-501, Updown, Gyr, 15, 0.97, 0.88, 47, 505, 499, 6, 11, 36, 0.01, 0.23, 0.19
RF-501, Tilt, Gyr, 1, 0.93, 0.74, 50, 618, 595, 23, 24, 26, 0.04, 0.48, 0.33
RF-501, Tilt, Gyr, 2, 0.93, 0.78, 56, 612, 589, 23, 23, 33, 0.04, 0.41, 0.30
RF-501, Tilt, Gyr, 3, 0.95, 0.78, 55, 613, 602, 11, 23, 32, 0.02, 0.42, 0.30
RF-501, Tilt, Gyr, 4, 0.92, 0.78, 55, 613, 583, 30, 22, 33, 0.05, 0.40, 0.30
RF-501, Tilt, Gyr, 5, 0.96, 0.76, 37, 631, 619, 12, 17, 20, 0.02, 0.46, 0.32
RF-501, Tilt, Gyr, 6, 0.93, 0.65, 45, 623, 603, 20, 30, 15, 0.03, 0.67, 0.41
RF-501, Tilt, Gyr, 7, 0.95, 0.70, 36, 632, 617, 15, 21, 15, 0.02, 0.58, 0.37
RF-501, Tilt, Gyr, 8, 0.93, 0.62, 42, 626, 611, 15, 31, 11, 0.02, 0.74, 0.43
RF-501, Tilt, Gyr, 9, 0.93, 0.76, 46, 622, 598, 24, 20, 26, 0.04, 0.43, 0.31
RF-501, Tilt, Gyr, 10, 0.96, 0.84, 41, 627, 615, 12, 12, 29, 0.02, 0.29, 0.23
RF-501, Tilt, Gyr, 11, 1.00, 0.95, 28, 640, 640, 0, 3, 25, 0.00, 0.11, 0.10
RF-501, Tilt, Gyr, 12, 0.95, 0.80, 41, 627, 610, 17, 15, 26, 0.03, 0.37, 0.27
RF-501, Tilt, Gyr, 13, 1.00, 1.00, 34, 634, 633, 1, 0, 34, 0.00, 0.00, 0.00
RF-501, Tilt, Gyr, 14, 0.93, 0.72, 55, 613, 598, 15, 29, 26, 0.02, 0.53, 0.35
RF-501, Tilt, Gyr, 15, 0.99, 0.96, 47, 621, 614, 7, 3, 44, 0.01, 0.06, 0.06
RF-501, Triangle, Gyr, 1, 0.97, 0.85, 45, 711, 704, 7, 13, 32, 0.01, 0.29, 0.23
RF-501, Triangle, Gyr, 2, 0.98, 0.92, 57, 699, 691, 8, 9, 48, 0.01, 0.16, 0.14
RF-501, Triangle, Gyr, 3, 0.95, 0.86, 61, 695, 675, 20, 15, 46, 0.03, 0.25, 0.20
RF-501, Triangle, Gyr, 4, 0.95, 0.79, 66, 690, 676, 14, 27, 39, 0.02, 0.41, 0.29
RF-501, Triangle, Gyr, 5, 0.97, 0.81, 44, 712, 706, 6, 16, 28, 0.01, 0.36, 0.27
RF-501, Triangle, Gyr, 6, 0.94, 0.74, 43, 713, 692, 21, 21, 22, 0.03, 0.49, 0.33
RF-501, Triangle, Gyr, 7, 0.99, 0.94, 44, 712, 706, 6, 5, 39, 0.01, 0.11, 0.10
RF-501, Triangle, Gyr, 8, 0.99, 0.94, 49, 707, 702, 5, 6, 43, 0.01, 0.12, 0.11
RF-501, Triangle, Gyr, 9, 0.94, 0.80, 51, 705, 682, 23, 19, 32, 0.03, 0.37, 0.28
RF-501, Triangle, Gyr, 10, 1.00, 0.96, 42, 714, 714, 0, 3, 39, 0.00, 0.07, 0.07
RF-501, Triangle, Gyr, 11, 0.97, 0.77, 35, 721, 714, 7, 16, 19, 0.01, 0.46, 0.32
RF-501, Triangle, Gyr, 12, 0.97, 0.82, 41, 715, 708, 7, 14, 27, 0.01, 0.34, 0.26
RF-501, Triangle, Gyr, 13, 0.99, 0.96, 60, 696, 694, 2, 5, 55, 0.00, 0.08, 0.08
RF-501, Triangle, Gyr, 14, 0.96, 0.81, 48, 708, 696, 12, 17, 31, 0.02, 0.35, 0.26
RF-501, Triangle, Gyr, 15, 0.95, 0.82, 70, 686, 669, 17, 24, 46, 0.02, 0.34, 0.26
RF-501, Turn, Gyr, 1, 0.96, 0.90, 85, 590, 576, 14, 15, 70, 0.02, 0.18, 0.15
RF-501, Turn, Gyr, 2, 0.96, 0.76, 47, 628, 621, 7, 22, 25, 0.01, 0.47, 0.32
RF-501, Turn, Gyr, 3, 0.94, 0.86, 64, 611, 586, 25, 15, 49, 0.04, 0.23, 0.20
RF-501, Turn, Gyr, 4, 0.99, 0.94, 43, 632, 628, 4, 5, 38, 0.01, 0.12, 0.10
RF-501, Turn, Gyr, 5, 0.97, 0.82, 39, 636, 630, 6, 14, 25, 0.01, 0.36, 0.27
RF-501, Turn, Gyr, 6, 0.95, 0.82, 51, 624, 609, 15, 17, 34, 0.02, 0.33, 0.25
RF-501, Turn, Gyr, 7, 0.97, 0.80, 31, 644, 639, 5, 12, 19, 0.01, 0.39, 0.28
RF-501, Turn, Gyr, 8, 0.97, 0.83, 41, 634, 624, 10, 13, 28, 0.02, 0.32, 0.24
RF-501, Turn, Gyr, 9, 0.93, 0.72, 50, 625, 603, 22, 26, 24, 0.04, 0.52, 0.35
RF-501, Turn, Gyr, 10, 0.97, 0.84, 32, 643, 634, 9, 10, 22, 0.01, 0.31, 0.24
RF-501, Turn, Gyr, 11, 0.99, 0.90, 31, 644, 643, 1, 6, 25, 0.00, 0.19, 0.16
RF-501, Turn, Gyr, 12, 0.98, 0.90, 37, 638, 633, 5, 7, 30, 0.01, 0.19, 0.16
RF-501, Turn, Gyr, 13, 0.99, 0.91, 28, 647, 643, 4, 5, 23, 0.01, 0.18, 0.15
RF-501, Turn, Gyr, 14, 0.91, 0.80, 58, 617, 576, 41, 19, 39, 0.07, 0.33, 0.26
RF-501, Turn, Gyr, 15, 0.99, 0.96, 38, 637, 636, 1, 3, 35, 0.00, 0.08, 0.07
RF-501, Square, Gyr, 1, 0.95, 0.77, 63, 753, 742, 11, 28, 35, 0.01, 0.44, 0.31
RF-501, Square, Gyr, 2, 0.97, 0.85, 58, 758, 748, 10, 17, 41, 0.01, 0.29, 0.23
RF-501, Square, Gyr, 3, 0.94, 0.85, 67, 749, 721, 28, 18, 49, 0.04, 0.27, 0.22
RF-501, Square, Gyr, 4, 0.96, 0.74, 39, 777, 767, 10, 20, 19, 0.01, 0.51, 0.34
RF-501, Square, Gyr, 5, 0.96, 0.80, 49, 767, 757, 10, 19, 30, 0.01, 0.39, 0.28
RF-501, Square, Gyr, 6, 0.93, 0.77, 55, 761, 728, 33, 23, 32, 0.04, 0.42, 0.30
RF-501, Square, Gyr, 7, 0.97, 0.83, 48, 768, 759, 9, 16, 32, 0.01, 0.33, 0.25
RF-501, Square, Gyr, 8, 0.98, 0.91, 57, 759, 749, 10, 9, 48, 0.01, 0.16, 0.14
RF-501, Square, Gyr, 9, 0.97, 0.77, 40, 776, 766, 10, 18, 22, 0.01, 0.45, 0.31
RF-501, Square, Gyr, 10, 0.99, 0.96, 42, 774, 769, 5, 3, 39, 0.01, 0.07, 0.07
RF-501, Square, Gyr, 11, 0.96, 0.81, 43, 773, 756, 17, 15, 28, 0.02, 0.35, 0.26
RF-501, Square, Gyr, 12, 0.96, 0.88, 57, 759, 743, 16, 13, 44, 0.02, 0.23, 0.19
RF-501, Square, Gyr, 13, 0.96, 0.89, 64, 752, 735, 17, 12, 52, 0.02, 0.19, 0.16
RF-501, Square, Gyr, 14, 0.94, 0.83, 61, 755, 727, 28, 19, 42, 0.04, 0.31, 0.24
RF-501, Square, Gyr, 15, 0.96, 0.85, 73, 743, 728, 15, 20, 53, 0.02, 0.27, 0.22
RF-501, Circle, RotVec, 1, 0.98, 0.90, 42, 570, 565, 5, 8, 34, 0.01, 0.19, 0.16
RF-501, Circle, RotVec, 2, 0.97, 0.89, 47, 565, 559, 6, 10, 37, 0.01, 0.21, 0.18
RF-501, Circle, RotVec, 3, 0.97, 0.95, 59, 553, 542, 11, 5, 54, 0.02, 0.08, 0.08
RF-501, Circle, RotVec, 4, 0.98, 0.92, 35, 577, 569, 8, 5, 30, 0.01, 0.14, 0.13
RF-501, Circle, RotVec, 5, 0.98, 0.94, 40, 572, 562, 10, 4, 36, 0.02, 0.10, 0.09
