ALGORITHM, GESTURE, # OF SELECTED SENSORS, PARTICIPANT_NO, ACCURACY, AUC, #ofPositiveInstance, #ofNegativeInstance, TN, FP, FN, TP, FAR, FRR, EER
RF-501, Tilt, Gyr, 13, 1.00, 1.00, 10, 191, 191, 0, 0, 10, 0.00, 0.00, 0.00
RF-501, Tilt, Gyr, 14, 0.92, 0.61, 17, 184, 180, 4, 13, 4, 0.02, 0.76, 0.44
RF-501, Tilt, Gyr, 15, 0.99, 0.94, 17, 184, 184, 0, 2, 15, 0.00, 0.12, 0.11
RF-501, Triangle, Gyr, 1, 0.96, 0.70, 15, 212, 211, 1, 9, 6, 0.00, 0.60, 0.38
RF-501, Triangle, Gyr, 2, 0.96, 0.85, 26, 201, 201, 0, 8, 18, 0.00, 0.31, 0.24
RF-501, Triangle, Gyr, 3, 0.97, 0.87, 16, 211, 209, 2, 4, 12, 0.01, 0.25, 0.20
RF-501, Triangle, Gyr, 4, 0.95, 0.80, 18, 209, 205, 4, 7, 11, 0.02, 0.39, 0.28
RF-501, Triangle, Gyr, 5, 0.97, 0.91, 13, 214, 210, 4, 2, 11, 0.02, 0.15, 0.14
RF-501, Triangle, Gyr, 6, 0.97, 0.95, 13, 214, 209, 5, 1, 12, 0.02, 0.08, 0.07
RF-501, Triangle, Gyr, 7, 0.98, 0.91, 18, 209, 207, 2, 3, 15, 0.01, 0.17, 0.14
RF-501, Triangle, Gyr, 8, 0.99, 0.96, 14, 213, 212, 1, 1, 13, 0.00, 0.07, 0.07
RF-501, Triangle, Gyr, 9, 0.94, 0.72, 17, 210, 205, 5, 9, 8, 0.02, 0.53, 0.35
RF-501, Triangle, Gyr, 10, 1.00, 1.00, 16, 211, 210, 1, 0, 16, 0.00, 0.00, 0.00
RF-501, Triangle, Gyr, 11, 0.98, 0.71, 7, 220, 219, 1, 4, 3, 0.00, 0.57, 0.36
RF-501, Triangle, Gyr, 12, 0.98, 0.80, 10, 217, 216, 1, 4, 6, 0.00, 0.40, 0.29
RF-501, Triangle, Gyr, 13, 0.99, 0.95, 21, 206, 205, 1, 2, 19, 0.00, 0.10, 0.09
RF-501, Triangle, Gyr, 14, 0.98, 0.88, 9, 218, 216, 2, 2, 7, 0.01, 0.22, 0.18
RF-501, Triangle, Gyr, 15, 0.95, 0.77, 14, 213, 207, 6, 6, 8, 0.03, 0.43, 0.31
RF-501, Turn, Gyr, 1, 0.95, 0.87, 35, 168, 166, 2, 9, 26, 0.01, 0.26, 0.21
RF-501, Turn, Gyr, 2, 0.93, 0.61, 12, 191, 185, 6, 9, 3, 0.03, 0.75, 0.44
RF-501, Turn, Gyr, 3, 0.93, 0.82, 19, 184, 176, 8, 6, 13, 0.04, 0.32, 0.25
RF-501, Turn, Gyr, 4, 0.98, 0.93, 15, 188, 185, 3, 2, 13, 0.02, 0.13, 0.12
