ALGORITHM, GESTURE, # OF SELECTED FEATURES, PARTICIPANT_NO, ACCURACY, AUC, #ofPositiveInstance, #ofNegativeInstance, TN, FP, FN, TP, FAR, FRR, EER
RF-501, Updown, 2, 8, 0.98, 0.92, 7, 159, 157, 2, 1, 6, 0.01, 0.14, 0.13
RF-501, Updown, 2, 9, 0.96, 0.85, 14, 152, 150, 2, 4, 10, 0.01, 0.29, 0.22
RF-501, Updown, 2, 10, 0.95, 0.64, 10, 156, 154, 2, 7, 3, 0.01, 0.70, 0.41
RF-501, Updown, 2, 11, 1.00, 1.00, 13, 153, 153, 0, 0, 13, 0.00, 0.00, 0.00
RF-501, Updown, 2, 12, 0.95, 0.88, 5, 161, 154, 7, 1, 4, 0.04, 0.20, 0.17
RF-501, Updown, 2, 13, 0.99, 0.99, 2, 164, 162, 2, 0, 2, 0.01, 0.00, 0.01
RF-501, Updown, 2, 14, 0.92, 0.78, 15, 151, 144, 7, 6, 9, 0.05, 0.40, 0.30
RF-501, Updown, 2, 15, 0.97, 0.89, 19, 147, 146, 1, 4, 15, 0.01, 0.21, 0.17
RF-501, Tilt, 2, 1, 1.00, 1.00, 16, 185, 184, 1, 0, 16, 0.01, 0.00, 0.01
RF-501, Tilt, 2, 2, 0.98, 0.95, 25, 176, 174, 2, 2, 23, 0.01, 0.08, 0.07
RF-501, Tilt, 2, 3, 0.97, 0.93, 16, 185, 181, 4, 2, 14, 0.02, 0.12, 0.11
RF-501, Tilt, 2, 4, 1.00, 1.00, 18, 183, 183, 0, 0, 18, 0.00, 0.00, 0.00
RF-501, Tilt, 2, 5, 0.97, 0.85, 7, 194, 190, 4, 2, 5, 0.02, 0.29, 0.23
RF-501, Tilt, 2, 6, 0.96, 0.69, 10, 191, 188, 3, 6, 4, 0.02, 0.60, 0.38
RF-501, Tilt, 2, 7, 0.97, 0.75, 12, 189, 189, 0, 6, 6, 0.00, 0.50, 0.33
RF-501, Tilt, 2, 8, 0.97, 0.81, 16, 185, 184, 1, 6, 10, 0.01, 0.38, 0.27
RF-501, Tilt, 2, 9, 0.97, 0.88, 9, 192, 188, 4, 2, 7, 0.02, 0.22, 0.18
