ALGORITHM, GESTURE, # OF SELECTED FEATURES, PARTICIPANT_NO, ACCURACY, AUC, #ofPositiveInstance, #ofNegativeInstance, TN, FP, FN, TP, FAR, FRR, EER
RF-501, Turn, 5, 12, 1.00, 0.99, 37, 638, 638, 0, 1, 36, 0.00, 0.03, 0.03
RF-501, Turn, 5, 13, 1.00, 1.00, 28, 647, 647, 0, 0, 28, 0.00, 0.00, 0.00
RF-501, Turn, 5, 14, 0.98, 0.90, 58, 617, 615, 2, 11, 47, 0.00, 0.19, 0.16
RF-501, Turn, 5, 15, 0.99, 0.93, 38, 637, 636, 1, 5, 33, 0.00, 0.13, 0.12
RF-501, Square, 5, 1, 0.98, 0.89, 63, 753, 748, 5, 13, 50, 0.01, 0.21, 0.17
RF-501, Square, 5, 2, 0.99, 0.96, 58, 758, 757, 1, 4, 54, 0.00, 0.07, 0.06
RF-501, Square, 5, 3, 0.99, 0.96, 67, 749, 746, 3, 5, 62, 0.00, 0.07, 0.07
RF-501, Square, 5, 4, 0.99, 0.90, 39, 777, 775, 2, 8, 31, 0.00, 0.21, 0.17
RF-501, Square, 5, 5, 0.96, 0.76, 49, 767, 761, 6, 23, 26, 0.01, 0.47, 0.32
RF-501, Square, 5, 6, 1.00, 0.99, 55, 761, 761, 0, 1, 54, 0.00, 0.02, 0.02
RF-501, Square, 5, 7, 0.98, 0.82, 48, 768, 765, 3, 17, 31, 0.00, 0.35, 0.26
RF-501, Square, 5, 8, 0.97, 0.90, 57, 759, 748, 11, 11, 46, 0.01, 0.19, 0.16
RF-501, Square, 5, 9, 0.97, 0.82, 40, 776, 767, 9, 14, 26, 0.01, 0.35, 0.26
RF-501, Square, 5, 10, 0.98, 0.84, 42, 774, 773, 1, 13, 29, 0.00, 0.31, 0.24
RF-501, Square, 5, 11, 1.00, 1.00, 43, 773, 772, 1, 0, 43, 0.00, 0.00, 0.00
RF-501, Square, 5, 12, 1.00, 1.00, 57, 759, 759, 0, 0, 57, 0.00, 0.00, 0.00
