ALGORITHM, GESTURE, # OF SELECTED SENSORS, PARTICIPANT_NO, ACCURACY, AUC, #ofPositiveInstance, #ofNegativeInstance, TN, FP, FN, TP, FAR, FRR, EER
RF-501, Turn, Gyr, 7, 0.96, 0.56, 9, 194, 194, 0, 8, 1, 0.00, 0.89, 0.47
RF-501, Turn, Gyr, 8, 0.98, 0.85, 10, 193, 192, 1, 3, 7, 0.01, 0.30, 0.23
RF-501, Turn, Gyr, 9, 0.97, 0.56, 8, 195, 195, 0, 7, 1, 0.00, 0.88, 0.47
RF-501, Turn, Gyr, 10, 0.98, 0.85, 7, 196, 194, 2, 2, 5, 0.01, 0.29, 0.22
RF-501, Turn, Gyr, 11, 0.98, 0.75, 8, 195, 195, 0, 4, 4, 0.00, 0.50, 0.33
RF-501, Turn, Gyr, 12, 0.96, 0.75, 14, 189, 188, 1, 7, 7, 0.01, 0.50, 0.33
RF-501, Turn, Gyr, 13, 0.99, 0.89, 5, 198, 196, 2, 1, 4, 0.01, 0.20, 0.17
RF-501, Turn, Gyr, 14, 0.92, 0.60, 19, 184, 183, 1, 15, 4, 0.01, 0.79, 0.44
RF-501, Turn, Gyr, 15, 1.00, 0.96, 14, 189, 189, 0, 1, 13, 0.00, 0.07, 0.07
RF-501, Square, Gyr, 1, 0.94, 0.56, 16, 229, 229, 0, 14, 2, 0.00, 0.88, 0.47
RF-501, Square, Gyr, 2, 0.94, 0.71, 24, 221, 221, 0, 14, 10, 0.00, 0.58, 0.37
RF-501, Square, Gyr, 3, 0.96, 0.75, 16, 229, 228, 1, 8, 8, 0.00, 0.50, 0.33
RF-501, Square, Gyr, 4, 0.95, 0.60, 15, 230, 230, 0, 12, 3, 0.00, 0.80, 0.44
RF-501, Square, Gyr, 5, 0.96, 0.58, 13, 232, 232, 0, 11, 2, 0.00, 0.85, 0.46
RF-501, Square, Gyr, 6, 0.95, 0.63, 15, 230, 229, 1, 11, 4, 0.00, 0.73, 0.42
RF-501, Square, Gyr, 7, 0.97, 0.79, 17, 228, 228, 0, 7, 10, 0.00, 0.41, 0.29
RF-501, Square, Gyr, 8, 0.96, 0.77, 20, 225, 224, 1, 9, 11, 0.00, 0.45, 0.31
RF-501, Square, Gyr, 9, 0.97, 0.67, 12, 233, 233, 0, 8, 4, 0.00, 0.67, 0.40
RF-501, Square, Gyr, 10, 1.00, 0.95, 11, 234, 234, 0, 1, 10, 0.00, 0.09, 0.08
RF-501, Square, Gyr, 11, 0.95, 0.57, 15, 230, 230, 0, 13, 2, 0.00, 0.87, 0.46
RF-501, Square, Gyr, 12, 0.96, 0.71, 17, 228, 228, 0, 10, 7, 0.00, 0.59, 0.37
RF-501, Square, Gyr, 13, 0.97, 0.80, 20, 225, 225, 0, 8, 12, 0.00, 0.40, 0.29
RF-501, Square, Gyr, 14, 0.98, 0.81, 13, 232, 231, 1, 5, 8, 0.00, 0.38, 0.28
RF-501, Square, Gyr, 15, 0.95, 0.71, 21, 224, 224, 0, 12, 9, 0.00, 0.57, 0.36
RF-501, Circle, RotVec, 1, 0.96, 0.76, 15, 169, 168, 1, 7, 8, 0.01, 0.47, 0.32
RF-501, Circle, RotVec, 2, 0.96, 0.82, 19, 165, 165, 0, 7, 12, 0.00, 0.37, 0.27
RF-501, Circle, RotVec, 3, 0.96, 0.93, 17, 167, 162, 5, 2, 15, 0.03, 0.12, 0.11
RF-501, Circle, RotVec, 4, 0.98, 0.82, 11, 173, 173, 0, 4, 7, 0.00, 0.36, 0.27
RF-501, Circle, RotVec, 5, 0.98, 0.99, 12, 172, 169, 3, 0, 12, 0.02, 0.00, 0.02
RF-501, Circle, RotVec, 6, 0.98, 0.91, 16, 168, 168, 0, 3, 13, 0.00, 0.19, 0.16
RF-501, Circle, RotVec, 7, 0.98, 0.89, 14, 170, 169, 1, 3, 11, 0.01, 0.21, 0.18
RF-501, Circle, RotVec, 8, 0.98, 0.99, 9, 175, 171, 4, 0, 9, 0.02, 0.00, 0.02
RF-501, Circle, RotVec, 9, 0.98, 0.88, 17, 167, 167, 0, 4, 13, 0.00, 0.24, 0.19
RF-501, Circle, RotVec, 10, 1.00, 1.00, 8, 176, 176, 0, 0, 8, 0.00, 0.00, 0.00
RF-501, Circle, RotVec, 11, 1.00, 1.00, 3, 181, 181, 0, 0, 3, 0.00, 0.00, 0.00
RF-501, Circle, RotVec, 12, 1.00, 1.00, 8, 176, 176, 0, 0, 8, 0.00, 0.00, 0.00
RF-501, Circle, RotVec, 13, 1.00, 1.00, 8, 176, 176, 0, 0, 8, 0.00, 0.00, 0.00
RF-501, Circle, RotVec, 14, 0.99, 0.97, 16, 168, 168, 0, 1, 15, 0.00, 0.06, 0.06
RF-501, Circle, RotVec, 15, 0.97, 0.77, 11, 173, 173, 0, 5, 6, 0.00, 0.45, 0.31
RF-501, Updown, RotVec, 1, 1.00, 1.00, 14, 152, 152, 0, 0, 14, 0.00, 0.00, 0.00
RF-501, Updown, RotVec, 2, 0.97, 0.95, 15, 151, 147, 4, 1, 14, 0.03, 0.07, 0.06
RF-501, Updown, RotVec, 3, 0.94, 0.73, 15, 151, 149, 2, 8, 7, 0.01, 0.53, 0.35
RF-501, Updown, RotVec, 4, 0.99, 0.94, 8, 158, 158, 0, 1, 7, 0.00, 0.12, 0.11
RF-501, Updown, RotVec, 5, 0.99, 1.00, 10, 156, 155, 1, 0, 10, 0.01, 0.00, 0.01
RF-501, Updown, RotVec, 6, 0.99, 0.96, 13, 153, 152, 1, 1, 12, 0.01, 0.08, 0.07
RF-501, Updown, RotVec, 7, 0.99, 0.91, 6, 160, 159, 1, 1, 5, 0.01, 0.17, 0.14
