ALGORITHM, GESTURE, # OF SELECTED SENSORS, PARTICIPANT_NO, ACCURACY, AUC, #ofPositiveInstance, #ofNegativeInstance, TN, FP, FN, TP, FAR, FRR, EER
RF-501, Circle, RotVecMagField, 11, 1.00, 1.00, 4, 88, 88, 0, 0, 4, 0.00, 0.00, 0.00
RF-501, Circle, RotVecMagField, 12, 0.99, 0.99, 6, 86, 85, 1, 0, 6, 0.01, 0.00, 0.01
RF-501, Circle, RotVecMagField, 13, 1.00, 1.00, 6, 86, 86, 0, 0, 6, 0.00, 0.00, 0.00
RF-501, Circle, RotVecMagField, 14, 0.98, 0.92, 7, 85, 84, 1, 1, 6, 0.01, 0.14, 0.13
RF-501, Circle, RotVecMagField, 15, 0.98, 0.83, 3, 89, 88, 1, 1, 2, 0.01, 0.33, 0.25
RF-501, Updown, RotVecMagField, 1, 1.00, 1.00, 7, 76, 76, 0, 0, 7, 0.00, 0.00, 0.00
RF-501, Updown, RotVecMagField, 2, 1.00, 1.00, 6, 77, 77, 0, 0, 6, 0.00, 0.00, 0.00
RF-501, Updown, RotVecMagField, 3, 1.00, 1.00, 7, 76, 76, 0, 0, 7, 0.00, 0.00, 0.00
RF-501, Updown, RotVecMagField, 4, 0.99, 0.90, 5, 78, 78, 0, 1, 4, 0.00, 0.20, 0.17
RF-501, Updown, RotVecMagField, 5, 0.98, 0.83, 6, 77, 77, 0, 2, 4, 0.00, 0.33, 0.25
RF-501, Updown, RotVecMagField, 6, 0.99, 0.93, 7, 76, 76, 0, 1, 6, 0.00, 0.14, 0.13
RF-501, Updown, RotVecMagField, 7, 0.99, 0.90, 5, 78, 78, 0, 1, 4, 0.00, 0.20, 0.17
RF-501, Updown, RotVecMagField, 8, 1.00, 1.00, 4, 79, 79, 0, 0, 4, 0.00, 0.00, 0.00
RF-501, Updown, RotVecMagField, 9, 1.00, 1.00, 4, 79, 79, 0, 0, 4, 0.00, 0.00, 0.00
RF-501, Updown, RotVecMagField, 10, 1.00, 1.00, 3, 80, 80, 0, 0, 3, 0.00, 0.00, 0.00
RF-501, Updown, RotVecMagField, 11, 1.00, 1.00, 1, 82, 82, 0, 0, 1, 0.00, 0.00, 0.00
RF-501, Updown, RotVecMagField, 12, 1.00, 1.00, 8, 75, 75, 0, 0, 8, 0.00, 0.00, 0.00
RF-501, Updown, RotVecMagField, 13, 0.99, 0.90, 5, 78, 78, 0, 1, 4, 0.00, 0.20, 0.17
RF-501, Updown, RotVecMagField, 14, 0.99, 0.93, 7, 76, 76, 0, 1, 6, 0.00, 0.14, 0.13
RF-501, Updown, RotVecMagField, 15, 0.98, 0.93, 8, 75, 74, 1, 1, 7, 0.01, 0.12, 0.11
RF-501, Tilt, RotVecMagField, 1, 0.99, 0.94, 9, 91, 91, 0, 1, 8, 0.00, 0.11, 0.10
RF-501, Tilt, RotVecMagField, 2, 1.00, 1.00, 7, 93, 93, 0, 0, 7, 0.00, 0.00, 0.00
RF-501, Tilt, RotVecMagField, 3, 0.99, 0.95, 11, 89, 89, 0, 1, 10, 0.00, 0.09, 0.08
RF-501, Tilt, RotVecMagField, 4, 1.00, 1.00, 6, 94, 94, 0, 0, 6, 0.00, 0.00, 0.00
RF-501, Tilt, RotVecMagField, 5, 0.97, 0.83, 9, 91, 91, 0, 3, 6, 0.00, 0.33, 0.25
